Iter = 0, 瞷︽秆cost = 122494.57, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 122494.57, 办秆Θセ = 122494.57
Iter = 70, 瞷︽秆cost = 122627.74, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 71, 瞷︽秆cost = 122630.97, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 72, 瞷︽秆cost = 122668.79, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 73, 瞷︽秆cost = 122676.22, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 74, 瞷︽秆cost = 122676.22, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 75, 瞷︽秆cost = 122676.22, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 76, 瞷︽秆cost = 122676.22, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 77, 瞷︽秆cost = 122660.38, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 78, 瞷︽秆cost = 122675.32, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 79, 瞷︽秆cost = 122695.52, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 80, 瞷︽秆cost = 122690.85, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 81, 瞷︽秆cost = 122690.85, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 82, 瞷︽秆cost = 122683.42, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 83, 瞷︽秆cost = 122691.42, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 84, 瞷︽秆cost = 122691.42, ó进计 = 12, 繦诀家览Ω计 = 4, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 85, 瞷︽秆cost = 122691.42, ó进计 = 12, 繦诀家览Ω计 = 4, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 86, 瞷︽秆cost = 122691.42, ó进计 = 12, 繦诀家览Ω计 = 4, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 87, 瞷︽秆cost = 122685.75, ó进计 = 12, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 88, 瞷︽秆cost = 122597.95, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 89, 瞷︽秆cost = 122569.24, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 90, 瞷︽秆cost = 122596.46, ó进计 = 12, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 91, 瞷︽秆cost = 122621.77, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 92, 瞷︽秆cost = 122654.72, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 93, 瞷︽秆cost = 122687.04, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 94, 瞷︽秆cost = 122687.04, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 95, 瞷︽秆cost = 122687.04, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 96, 瞷︽秆cost = 122696.39, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 97, 瞷︽秆cost = 122711.99, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 98, 瞷︽秆cost = 122711.99, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 99, 瞷︽秆cost = 122706.95, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 100, 瞷︽秆cost = 122679.57, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 101, 瞷︽秆cost = 122686.60, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 102, 瞷︽秆cost = 122660.38, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 103, 瞷︽秆cost = 122668.38, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 104, 瞷︽秆cost = 122668.38, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 105, 瞷︽秆cost = 122669.67, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 106, 瞷︽秆cost = 122638.07, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 107, 瞷︽秆cost = 122638.07, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 108, 瞷︽秆cost = 122638.07, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 109, 瞷︽秆cost = 122651.24, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 110, 瞷︽秆cost = 122627.76, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 111, 瞷︽秆cost = 122658.45, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 112, 瞷︽秆cost = 122679.23, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 113, 瞷︽秆cost = 122696.81, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 114, 瞷︽秆cost = 122707.61, ó进计 = 12, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 115, 瞷︽秆cost = 122707.61, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 116, 瞷︽秆cost = 122707.61, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 117, 瞷︽秆cost = 122707.61, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 118, 瞷︽秆cost = 122681.41, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 119, 瞷︽秆cost = 122681.41, ó进计 = 12, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 120, 瞷︽秆cost = 122704.04, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 121, 瞷︽秆cost = 122696.92, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 122, 瞷︽秆cost = 122640.45, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 123, 瞷︽秆cost = 122615.29, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 124, 瞷︽秆cost = 122642.49, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 125, 瞷︽秆cost = 122655.36, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 126, 瞷︽秆cost = 122655.36, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 127, 瞷︽秆cost = 122655.36, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 128, 瞷︽秆cost = 122655.36, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 129, 瞷︽秆cost = 122668.18, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 130, 瞷︽秆cost = 122686.33, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 131, 瞷︽秆cost = 122693.82, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 132, 瞷︽秆cost = 122694.59, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 133, 瞷︽秆cost = 122683.94, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 134, 瞷︽秆cost = 122683.94, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 135, 瞷︽秆cost = 122683.94, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 136, 瞷︽秆cost = 122683.94, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 137, 瞷︽秆cost = 122683.94, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 138, 瞷︽秆cost = 122685.54, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 139, 瞷︽秆cost = 122653.62, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 140, 瞷︽秆cost = 122607.43, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 141, 瞷︽秆cost = 122614.03, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 142, 瞷︽秆cost = 122618.03, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 143, 瞷︽秆cost = 122635.21, ó进计 = 12, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 144, 瞷︽秆cost = 122635.21, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 145, 瞷︽秆cost = 122635.21, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 146, 瞷︽秆cost = 122635.21, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 147, 瞷︽秆cost = 122635.21, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 148, 瞷︽秆cost = 122616.29, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 149, 瞷︽秆cost = 122614.91, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 150, 瞷︽秆cost = 122625.77, ó进计 = 12, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 151, 瞷︽秆cost = 122611.73, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 152, 瞷︽秆cost = 122654.33, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 153, 瞷︽秆cost = 122696.01, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 154, 瞷︽秆cost = 122696.01, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 155, 瞷︽秆cost = 122696.01, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 156, 瞷︽秆cost = 122696.01, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 157, 瞷︽秆cost = 122675.52, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 158, 瞷︽秆cost = 122675.69, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 159, 瞷︽秆cost = 122696.43, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 160, 瞷︽秆cost = 122725.77, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 161, 瞷︽秆cost = 122727.13, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 162, 瞷︽秆cost = 122704.52, ó进计 = 12, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 163, 瞷︽秆cost = 122704.52, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 164, 瞷︽秆cost = 122704.52, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 165, 瞷︽秆cost = 122704.52, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
Iter = 166, 瞷︽秆cost = 122704.52, ó进计 = 12, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 122494.57
